difficulty_order,difficulty,seed,algo,algo_label,hota,deta,assa,tp,fp,fn,runtime_s,mean_cost_peak2peak,n_tracks,n_gt,nparticles,nframes,nposframe,poisson_noise,D_multiplier,truth_match_tolerance_px,tracking_max_distance,total_peaks,mean_peaks_per_frame
1,easy,0,hungarian,Hungarian,0.5503333216209405,0.7057522123893806,0.4291403690552494,319,52,81,0.10471680015325546,510205.93302922184,23,8,8,50,2,60.0,0.7,3.0,10.0,418,8.36
1,easy,0,greedy_nn,Greedy 1-to-1 NN,0.5122699357668964,0.7127192982456141,0.36819612957945475,325,56,75,0.092956000007689,1.8470051923852262,27,8,8,50,2,60.0,0.7,3.0,10.0,418,8.36
1,easy,0,mutual_nn,Mutual NN,0.5122699357668964,0.7127192982456141,0.36819612957945475,325,56,75,0.07246900000609457,1.8470051923852262,27,8,8,50,2,60.0,0.7,3.0,10.0,418,8.36
1,easy,1,hungarian,Hungarian,0.9683876347265692,0.970074812967581,0.9667033908679152,389,1,11,0.06484550004824996,1.1927293273382724,9,8,8,50,2,60.0,0.7,3.0,10.0,399,7.98
1,easy,1,greedy_nn,Greedy 1-to-1 NN,0.9683876347265692,0.970074812967581,0.9667033908679152,389,1,11,0.06870460021309555,1.1927293273382724,9,8,8,50,2,60.0,0.7,3.0,10.0,399,7.98
1,easy,1,mutual_nn,Mutual NN,0.9683876347265692,0.970074812967581,0.9667033908679152,389,1,11,0.06305150012485683,1.1927293273382724,9,8,8,50,2,60.0,0.7,3.0,10.0,399,7.98
1,easy,2,hungarian,Hungarian,0.5464098059291914,0.6982758620689655,0.42757267182477643,324,64,76,0.07297690003179014,632654.8396822513,25,8,8,50,2,60.0,0.7,3.0,10.0,430,8.6
1,easy,2,greedy_nn,Greedy 1-to-1 NN,0.5425976979149661,0.6908315565031983,0.42617083572854686,324,69,76,0.0650112999137491,1.7835225568209985,27,8,8,50,2,60.0,0.7,3.0,10.0,430,8.6
1,easy,2,mutual_nn,Mutual NN,0.5425976979149661,0.6908315565031983,0.42617083572854686,324,69,76,0.06718140002340078,1.7835225568209985,27,8,8,50,2,60.0,0.7,3.0,10.0,430,8.6
1,easy,3,hungarian,Hungarian,0.8633361531029287,0.882494004796163,0.8445941946390028,368,17,32,0.05784080014564097,265307.5794766694,14,8,8,50,2,60.0,0.7,3.0,10.0,401,8.02
1,easy,3,greedy_nn,Greedy 1-to-1 NN,0.861217216370531,0.882494004796163,0.8404534078895204,368,17,32,0.05975150014273822,1.4572076672279486,14,8,8,50,2,60.0,0.7,3.0,10.0,401,8.02
1,easy,3,mutual_nn,Mutual NN,0.861217216370531,0.882494004796163,0.8404534078895204,368,17,32,0.05527119990438223,1.4572076672279486,14,8,8,50,2,60.0,0.7,3.0,10.0,401,8.02
1,easy,4,hungarian,Hungarian,0.6203432906646593,0.7587719298245614,0.5071692601512487,346,56,54,0.07894959999248385,591838.5840601876,27,8,8,50,2,60.0,0.7,3.0,10.0,438,8.76
1,easy,4,greedy_nn,Greedy 1-to-1 NN,0.6153230557232869,0.7609649122807017,0.49755574375941597,347,56,53,0.05939699988812208,1.8407079071775838,27,8,8,50,2,60.0,0.7,3.0,10.0,438,8.76
1,easy,4,mutual_nn,Mutual NN,0.6153230557232869,0.7609649122807017,0.49755574375941597,347,56,53,0.08711259998381138,1.8407079071775838,27,8,8,50,2,60.0,0.7,3.0,10.0,438,8.76
2,medium,0,hungarian,Hungarian,0.5972613053638791,0.6605222734254992,0.5400591035863074,430,51,170,0.12526449980214238,653063.2877258254,26,12,12,50,4,100.0,1.0,3.0,10.0,527,10.54
2,medium,0,greedy_nn,Greedy 1-to-1 NN,0.613394452188232,0.661042944785276,0.5691805002132168,431,52,169,0.10396250011399388,2.0485515315655847,27,12,12,50,4,100.0,1.0,3.0,10.0,527,10.54
2,medium,0,mutual_nn,Mutual NN,0.613394452188232,0.661042944785276,0.5691805002132168,431,52,169,0.11026569991372526,2.0485515315655847,27,12,12,50,4,100.0,1.0,3.0,10.0,527,10.54
2,medium,1,hungarian,Hungarian,0.8052322805133689,0.7868589743589743,0.8240346068480546,491,24,109,0.1209137998521328,183675.17413966754,19,12,12,50,4,100.0,1.0,3.0,10.0,543,10.86
2,medium,1,greedy_nn,Greedy 1-to-1 NN,0.7464366057637811,0.7868589743589743,0.7080908073496383,491,24,109,0.12726700003258884,1.7117865641740369,19,12,12,50,4,100.0,1.0,3.0,10.0,543,10.86
2,medium,1,mutual_nn,Mutual NN,0.7464366057637811,0.7868589743589743,0.7080908073496383,491,24,109,0.10272820014506578,1.7117865641740369,19,12,12,50,4,100.0,1.0,3.0,10.0,543,10.86
2,medium,2,hungarian,Hungarian,0.7057573592976653,0.7389937106918238,0.6740158177212544,470,36,130,0.11151620000600815,408165.10249018884,20,12,12,50,4,100.0,1.0,3.0,10.0,539,10.78
2,medium,2,greedy_nn,Greedy 1-to-1 NN,0.7278275411948063,0.7401574803149606,0.7157030007941814,470,35,130,0.09941900009289384,1.820464998468215,20,12,12,50,4,100.0,1.0,3.0,10.0,539,10.78
2,medium,2,mutual_nn,Mutual NN,0.7278275411948063,0.7401574803149606,0.7157030007941814,470,35,130,0.10060109989717603,1.820464998468215,20,12,12,50,4,100.0,1.0,3.0,10.0,539,10.78
2,medium,3,hungarian,Hungarian,0.6408979704849198,0.6213292117465224,0.6610830471290617,402,47,198,0.09781980002298951,673471.1280163288,26,12,12,50,4,100.0,1.0,3.0,10.0,494,9.88
