peak_config,difficulty,hota_mean,hota_ci95,deta_mean,assa_mean,n
dist_int_90_10,"S1 (N=5, I=800+/-50)",0.4800554415086122,0.13513922163646344,0.818181163902712,0.29306256384594787,4
dist_int_60_40,"S1 (N=5, I=800+/-50)",0.4789332313297687,0.0833009205029252,0.8212446563394716,0.2838631739099821,4
intensity_only,"S1 (N=5, I=800+/-50)",0.46330175472712287,0.14352708802780617,0.814912649064129,0.27378011881635006,4
dist_meta_80_10_10,"S1 (N=5, I=800+/-50)",0.4583458783094252,0.09416778711982948,0.8113146443482925,0.2639211209240811,4
dist_meta_50_40_10,"S1 (N=5, I=800+/-50)",0.45712250483795647,0.07210573249277322,0.8125146397822918,0.26094409503339916,4
dist_int_75_25,"S1 (N=5, I=800+/-50)",0.45648771910954467,0.08890232582876034,0.8112965980868376,0.26152133316008086,4
dist_sig_90_10,"S1 (N=5, I=800+/-50)",0.4556891657922864,0.08423346802907945,0.8111808519595309,0.26095886556556164,4
dist_meta_70_20_10,"S1 (N=5, I=800+/-50)",0.45545027686221223,0.08576650935900383,0.8135975446945056,0.25999375622104415,4
distance_only,"S1 (N=5, I=800+/-50)",0.4490389081991026,0.0942429410278195,0.8051548028377346,0.25606416084851863,4
dist_sig_60_40,"S1 (N=5, I=800+/-50)",0.44795368665921004,0.07080433694938493,0.8172536955233625,0.248011845885225,4
dist_sig_75_25,"S1 (N=5, I=800+/-50)",0.44606658058051046,0.058208853052729465,0.8173957228702722,0.2459782085651599,4
equal_all,"S1 (N=5, I=800+/-50)",0.43244582228730016,0.055578673128632274,0.8051456803562921,0.23343579121611377,4
sigma_only,"S1 (N=5, I=800+/-50)",0.43212479944197524,0.06750299432038565,0.8026514002020664,0.23412854585354037,4
dist_meta_50_40_10,"S2 (N=10, I=700+/-100)",0.4784282919096247,0.029710576057115815,0.8303884339651294,0.2765744769160375,4
dist_sig_75_25,"S2 (N=10, I=700+/-100)",0.4718128752218297,0.029448252144245755,0.835539665142787,0.26691221116434966,4
dist_int_60_40,"S2 (N=10, I=700+/-100)",0.4715338268423279,0.02241644475134174,0.833082936892485,0.2681274046827779,4
dist_int_75_25,"S2 (N=10, I=700+/-100)",0.4700091539340038,0.03673100645393468,0.8330590882162278,0.26657676108933837,4
equal_all,"S2 (N=10, I=700+/-100)",0.46815429756069976,0.026710618526954857,0.8284206910167115,0.26464530763349625,4
dist_sig_60_40,"S2 (N=10, I=700+/-100)",0.467080079199977,0.034103636814242756,0.8357637593045241,0.2613788910547596,4
dist_meta_80_10_10,"S2 (N=10, I=700+/-100)",0.46566162491415475,0.028786494296185048,0.835539656236371,0.25997116836779055,4
dist_meta_70_20_10,"S2 (N=10, I=700+/-100)",0.4650177977243275,0.033513608971334735,0.8277323935871979,0.2615218146437869,4
dist_sig_90_10,"S2 (N=10, I=700+/-100)",0.45989345272041193,0.020708330579456823,0.8395276681233413,0.25204548283619554,4
dist_int_90_10,"S2 (N=10, I=700+/-100)",0.44972336923095346,0.019053298637733796,0.8270857319524526,0.24538405734694302,4
intensity_only,"S2 (N=10, I=700+/-100)",0.4496644193563666,0.06269318455458003,0.8242836454507426,0.24800338347526324,4
sigma_only,"S2 (N=10, I=700+/-100)",0.4379190416839753,0.012424082713000252,0.8253903214335057,0.2325815621673678,4
distance_only,"S2 (N=10, I=700+/-100)",0.43670752972689875,0.025205520421750355,0.8208459869690072,0.23278854097953766,4
dist_int_60_40,"S3 (N=15, I=600+/-150)",0.5024895747017756,0.06517588638018282,0.8397097709678623,0.3017125418535386,4
dist_sig_75_25,"S3 (N=15, I=600+/-150)",0.4921764518768925,0.06599127917685889,0.8440793118113629,0.2880790155631483,4
dist_meta_50_40_10,"S3 (N=15, I=600+/-150)",0.49134146520490873,0.0666941487158104,0.8433445296006681,0.28747851977819744,4
dist_int_75_25,"S3 (N=15, I=600+/-150)",0.488203905299583,0.05488393463892798,0.8399581826095253,0.28424367726732613,4
dist_meta_70_20_10,"S3 (N=15, I=600+/-150)",0.48391290815986354,0.058935813716080525,0.8433382469666695,0.27822857296809683,4
dist_meta_80_10_10,"S3 (N=15, I=600+/-150)",0.48293240629622025,0.07418983242585886,0.8432579425898676,0.2777597963940898,4
dist_sig_90_10,"S3 (N=15, I=600+/-150)",0.4806063751424245,0.06490878356295278,0.8444186704781697,0.27420248271977343,4
dist_sig_60_40,"S3 (N=15, I=600+/-150)",0.48036710533589955,0.05093560809924492,0.8457288956119454,0.2736157802846616,4
dist_int_90_10,"S3 (N=15, I=600+/-150)",0.4763841531373829,0.05373493901250694,0.837239507984771,0.2714559106804117,4
equal_all,"S3 (N=15, I=600+/-150)",0.46720208810955866,0.04972751664752327,0.8437460133126622,0.2592673181409123,4
distance_only,"S3 (N=15, I=600+/-150)",0.46683340631640635,0.055472643223185326,0.8324734792771168,0.26244372032894003,4
intensity_only,"S3 (N=15, I=600+/-150)",0.4528346494097071,0.05092881587733767,0.8386561584247776,0.24566549856279424,4
sigma_only,"S3 (N=15, I=600+/-150)",0.43579609759729343,0.06875920722152212,0.8342547735414555,0.22947264219003954,4
dist_sig_75_25,"S4 (N=20, I=550+/-200)",0.4391895869765966,0.029761276755367917,0.8050224893366238,0.2400825852718154,4
dist_sig_60_40,"S4 (N=20, I=550+/-200)",0.4330417686056341,0.02307521372721801,0.8114352414080727,0.23134209970952888,4
dist_meta_70_20_10,"S4 (N=20, I=550+/-200)",0.43026356981124136,0.020848154354059126,0.8023158800989731,0.23093470648392278,4
dist_meta_50_40_10,"S4 (N=20, I=550+/-200)",0.4284547467423621,0.02281687777753848,0.804595489222833,0.2284156677027613,4
equal_all,"S4 (N=20, I=550+/-200)",0.42582810387775993,0.025823393101797452,0.807793845141926,0.22488769468565306,4
dist_int_75_25,"S4 (N=20, I=550+/-200)",0.4251956466379968,0.02769002040934442,0.799293311984822,0.2266049854178968,4
dist_meta_80_10_10,"S4 (N=20, I=550+/-200)",0.42487713979872843,0.02800697723317134,0.8007555923164522,0.2257665310219521,4
dist_sig_90_10,"S4 (N=20, I=550+/-200)",0.42254364810214395,0.024663497615896052,0.8043386585307883,0.22226145150272797,4
dist_int_60_40,"S4 (N=20, I=550+/-200)",0.4214549909701967,0.025236865859042296,0.7921407932484679,0.224426639431376,4
dist_int_90_10,"S4 (N=20, I=550+/-200)",0.41735747583417193,0.022333893436028658,0.7937061140379494,0.22010718459727652,4
distance_only,"S4 (N=20, I=550+/-200)",0.4161472142735618,0.018943900142968855,0.7966501241189848,0.21791158809704425,4
intensity_only,"S4 (N=20, I=550+/-200)",0.3820026894270994,0.022209799235955497,0.7853506839010627,0.18623364807660253,4
sigma_only,"S4 (N=20, I=550+/-200)",0.38019195099591047,0.008780035189765695,0.8051463460838273,0.1798435895914075,4
dist_meta_80_10_10,"S5 (N=25, I=500+/-300)",0.4120515667378174,0.023199483580635415,0.7919696950437958,0.21496043622869446,4
dist_int_60_40,"S5 (N=25, I=500+/-300)",0.40735634124085174,0.013000258171523258,0.7861147942683968,0.21133031584081452,4
distance_only,"S5 (N=25, I=500+/-300)",0.4039238970112963,0.01321674062981631,0.7842276083267136,0.20814750351794467,4
dist_meta_70_20_10,"S5 (N=25, I=500+/-300)",0.40310012556674324,0.020013424998847798,0.7878513556111646,0.20678025737333217,4
dist_sig_90_10,"S5 (N=25, I=500+/-300)",0.4028386578169766,0.015632331355523228,0.7906966199582849,0.20551468920555116,4
dist_int_75_25,"S5 (N=25, I=500+/-300)",0.40234184037381604,0.011471325743994489,0.7864822339221746,0.20606812135706884,4
dist_int_90_10,"S5 (N=25, I=500+/-300)",0.40222988181098474,0.008157035176379926,0.7803887403072457,0.20739710917997123,4
dist_sig_60_40,"S5 (N=25, I=500+/-300)",0.39959380217085383,0.017914136464388154,0.7968980686065954,0.20079443720961695,4
dist_sig_75_25,"S5 (N=25, I=500+/-300)",0.3977047601138716,0.018066344512271876,0.7877286753935109,0.20124350362901905,4
dist_meta_50_40_10,"S5 (N=25, I=500+/-300)",0.39757233053000113,0.01600021480785676,0.786276376559796,0.20140622982547063,4
equal_all,"S5 (N=25, I=500+/-300)",0.396336027182525,0.023832223671030918,0.7923816556820268,0.19865156434040987,4
sigma_only,"S5 (N=25, I=500+/-300)",0.34956141846322564,0.009545139975907484,0.7870423339246758,0.1553684387385444,4
intensity_only,"S5 (N=25, I=500+/-300)",0.34943152151329293,0.009435315279208413,0.7830052698032618,0.1559913491704506,4
