gt_total,localized_total,mean_gt_per_frame,mean_localized_per_frame,mean_abs_count_error_per_frame,rmse_count_per_frame,tp,fp,fn,precision,recall,f1,mean_position_error_px,median_position_error_px,mean_kept_r2,mean_kept_sigma_px,mean_kept_intensity,seed,r2_threshold,runtime_s
800,815,20.0,20.375,1.225,1.6046806535881213,716,99,84,0.8785276073619632,0.895,0.886687306501548,1.0253427834587485,0.8854013132779341,0.8538314677978569,1.2376079531659265,484.0059422837116,0,0.4,4.405282699968666
800,815,20.0,20.375,1.225,1.6046806535881213,716,99,84,0.8785276073619632,0.895,0.886687306501548,1.0253427834587485,0.8854013132779341,0.8538314677978569,1.2376079531659265,484.0059422837116,0,0.45,4.518094799946994
800,812,20.0,20.3,1.25,1.6278820596099706,713,99,87,0.8780788177339901,0.89125,0.8846153846153847,1.0218863097167636,0.8844366554427671,0.8552891150509566,1.2364531874250444,484.6662609100332,0,0.5,4.91578059992753
800,794,20.0,19.85,1.25,1.7320508075688772,703,91,97,0.8853904282115869,0.87875,0.8820577164366374,1.0167889762556257,0.8791191403329294,0.8627158485185464,1.22859089206618,488.6450654054281,0,0.55,3.6028538001701236
800,785,20.0,19.625,1.275,1.7392527130926085,694,91,106,0.8840764331210191,0.8675,0.8757097791798109,1.0151178324485761,0.8799076588754603,0.8659139011416893,1.2254761794793174,490.6564738318253,0,0.6,6.529558599926531
800,765,20.0,19.125,1.475,1.9937402037376886,681,84,119,0.8901960784313725,0.85125,0.8702875399361022,1.0075751395513868,0.8753236140409024,0.8722344138540307,1.2194898655599953,494.5256600085085,0,0.65,4.365390999941155
800,731,20.0,18.275,1.975,2.5248762345905194,663,68,137,0.9069767441860465,0.82875,0.8661005878510777,0.9964398607723537,0.867507388671383,0.8813021955969683,1.2103001007915737,502.7124778954584,0,0.7,5.106741200201213
784,770,19.6,19.25,1.35,1.746424919657298,664,106,120,0.8623376623376623,0.8469387755102041,0.8545688545688546,0.9251058781584416,0.7451394674137699,0.8727570872495819,1.2107173017476236,518.523190997236,1,0.4,5.75038760015741
784,769,19.6,19.225,1.375,1.7677669529663689,663,106,121,0.8621586475942783,0.8456632653061225,0.8538312942691566,0.9241453616560699,0.7447837763118844,0.8733686396954531,1.2089466748713107,518.8136129584828,1,0.45,4.577488499926403
784,766,19.6,19.15,1.4,1.7748239349298849,661,105,123,0.8629242819843342,0.8431122448979592,0.8529032258064517,0.9184142132880037,0.7423864672868984,0.8749113631268841,1.2096042445654427,519.9493027108574,1,0.5,5.161107399966568
784,760,19.6,19.0,1.5,1.857417562100671,658,102,126,0.8657894736842106,0.8392857142857143,0.8523316062176166,0.9191836310327802,0.7422525797817543,0.8776558759616908,1.209626747372152,521.7633412313595,1,0.55,4.336900800000876
784,750,19.6,18.75,1.65,1.9874606914351791,661,89,123,0.8813333333333333,0.8431122448979592,0.8617992177314211,0.914440502011163,0.7388378582809427,0.8816544645269477,1.2061146250693093,524.959810000451,1,0.6,4.365833299933001
784,730,19.6,18.25,1.8,2.16794833886788,653,77,131,0.8945205479452055,0.8329081632653061,0.8626155878467636,0.9116949382200626,0.7379023268860156,0.8885499938914059,1.1967765495607336,530.3457472851619,1,0.65,5.164721600012854
784,702,19.6,17.55,2.35,2.701851217221259,636,66,148,0.905982905982906,0.8112244897959183,0.8559892328398384,0.8944257240804174,0.7230336085846703,0.8967708442210721,1.177522685312226,537.4998099075041,1,0.7,9.292110100155696
787,787,19.675,19.675,0.9,1.224744871391589,722,65,65,0.9174078780177891,0.9174078780177891,0.9174078780177892,0.8292795488606682,0.7024145035136375,0.8907466796431414,1.1574840234292123,540.0571777338936,2,0.4,4.86355090001598
787,782,19.675,19.55,0.825,1.1937336386313322,719,63,68,0.9194373401534527,0.9135959339263025,0.9165073295092415,0.8318214282371352,0.7039825165988763,0.8937027749654527,1.1549417960090949,541.203180345179,2,0.45,5.052310300059617
787,781,19.675,19.525,0.8,1.1832159566199232,719,62,68,0.9206145966709347,0.9135959339263025,0.9170918367346939,0.8318214282371352,0.7039825165988763,0.8942272568400116,1.1557047145395039,541.5160970390782,2,0.5,5.983752599917352
787,774,19.675,19.35,0.825,1.2349089035228469,715,59,72,0.9237726098191215,0.9085133418043202,0.9160794362588085,0.8262302123800883,0.7015291092645171,0.8976231143039844,1.1580751684392798,541.0587675487935,2,0.55,5.799814200028777
787,768,19.675,19.2,0.875,1.3322912594474228,711,57,76,0.92578125,0.9034307496823379,0.9144694533762057,0.8256657887726304,0.7012059279469077,0.9001811469324476,1.1575993229653154,543.1652576180832,2,0.6,5.960753400111571
787,759,19.675,18.975,1.0,1.5,704,55,83,0.927536231884058,0.8945362134688691,0.9107373868046571,0.8200004911011763,0.6987775481635907,0.9034681214009063,1.1571844159994171,545.6341095600901,2,0.65,5.345538099994883
787,745,19.675,18.625,1.2,1.6733200530681511,702,43,85,0.9422818791946309,0.8919949174078781,0.91644908616188,0.8197684181994834,0.6959486576418772,0.9075921048359905,1.148539310245327,549.6761704909532,2,0.7,4.613434800179675
